canonical,name,region,type,population
"Moreno Valley, California, United States",Moreno Valley,California,City,204198
"Little Rock, Arkansas, United States",Little Rock,Arkansas,City,202591
"Fayetteville, North Carolina, United States",Fayetteville,North Carolina,City,201963
"Huntington Beach, California, United States",Huntington Beach,California,City,201899
"Tallahassee, Florida, United States",Tallahassee,Florida,City,201731
"Yonkers, New York, United States",Yonkers,New York,City,201116
"Glendale, California, United States",Glendale,California,City,201020
"Cypress, Texas, United States",Cypress,Texas,City,200839
"Aurora, Illinois, United States",Aurora,Illinois,City,200661
"Amarillo, Texas, United States",Amarillo,Texas,City,198645
"Akron, Ohio, United States",Akron,Ohio,City,197542
"Vancouver, Washington, United States",Vancouver,Washington,City,196442
"Birmingham, Alabama, United States",Birmingham,Alabama,City,196357
"Montgomery, Alabama, United States",Montgomery,Alabama,City,195287
"Grand Rapids, Michigan, United States",Grand Rapids,Michigan,City,195097
"Peoria, Arizona, United States",Peoria,Arizona,City,190985
"Providence, Rhode Island, United States",Providence,Rhode Island,City,190934
"Knoxville, Tennessee, United States",Knoxville,Tennessee,City,190740
"Sunrise Manor, Nevada, United States",Sunrise Manor,Nevada,City,189372
"Grand Prairie, Texas, United States",Grand Prairie,Texas,City,187809
"Shreveport, Louisiana, United States",Shreveport,Louisiana,City,187593
"Brownsville, Texas, United States",Brownsville,Texas,City,186738
"Overland Park, Kansas, United States",Overland Park,Kansas,City,186515
"Newport News, Virginia, United States",Newport News,Virginia,City,186247
"Mobile, Alabama, United States",Mobile,Alabama,City,183289
"Fort Lauderdale, Florida, United States",Fort Lauderdale,Florida,City,183146
"Santa Clarita, California, United States",Santa Clarita,California,City,182371
"Chattanooga, Tennessee, United States",Chattanooga,Tennessee,City,181099
"East Flatbush, New York, United States",East Flatbush,New York,City,178464
"Spring Valley, Nevada, United States",Spring Valley,Nevada,City,178395
"Santa Rosa, California, United States",Santa Rosa,California,City,178127
"Eugene, Oregon, United States",Eugene,Oregon,City,176654
"Tempe, Arizona, United States",Tempe,Arizona,City,175826
"Oceanside, California, United States",Oceanside,California,City,175691
"Salem, Oregon, United States",Salem,Oregon,City,175535
"Garden Grove, California, United States",Garden Grove,California,City,175393
"Rancho Cucamonga, California, United States",Rancho Cucamonga,California,City,175236
"Cape Coral, Florida, United States",Cape Coral,Florida,City,175229
"East New York, New York, United States",East New York,New York,City,173198
"Sioux Falls, South Dakota, United States",Sioux Falls,South Dakota,City,171544
"Ontario, California, United States",Ontario,California,City,171214
"Fort Collins, Colorado, United States",Fort Collins,Colorado,City,170924
"Springfield, Missouri, United States",Springfield,Missouri,City,170188
"Hollywood, California, United States",Hollywood,California,City,167664
"Elk Grove, California, United States",Elk Grove,California,City,166913
"Clarksville, Tennessee, United States",Clarksville,Tennessee,City,166722
"Pembroke Pines, Florida, United States",Pembroke Pines,Florida,City,166611
"Deer Valley, Arizona, United States",Deer Valley,Arizona,City,165656
"Murfreesboro, Tennessee, United States",Murfreesboro,Tennessee,City,165430
"Port Saint Lucie, Florida, United States",Port Saint Lucie,Florida,City,164603
"Corona, California, United States",Corona,California,City,164226
"McKinney, Texas, United States",McKinney,Texas,City,162898
"Lancaster, California, United States",Lancaster,California,City,161103
"Cary, North Carolina, United States",Cary,North Carolina,City,159769
"Alexandria, Virginia, United States",Alexandria,Virginia,City,159467
"Tempe Junction, Arizona, United States",Tempe Junction,Arizona,City,158368
"Palmdale, California, United States",Palmdale,California,City,158351
"Hayward, California, United States",Hayward,California,City,158289
"Salinas, California, United States",Salinas,California,City,157380
"Sunnyvale, California, United States",Sunnyvale,California,City,155805
"Frisco, Texas, United States",Frisco,Texas,City,154407
"Springfield, Massachusetts, United States",Springfield,Massachusetts,City,154341
"East Chattanooga, Tennessee, United States",East Chattanooga,Tennessee,City,154024
"Pasadena, Texas, United States",Pasadena,Texas,City,153784
"Jackson, Mississippi, United States",Jackson,Mississippi,City,153701
"Pomona, California, United States",Pomona,California,City,153266
"Kansas City, Kansas, United States",Kansas City,Kansas,City,152933
"Washington Heights, New York, United States",Washington Heights,New York,City,152613
"Lakewood, Colorado, United States",Lakewood,Colorado,City,152597
"Escondido, California, United States",Escondido,California,City,151038
"Astoria, New York, United States",Astoria,New York,City,150165
"Hollywood, Florida, United States",Hollywood,Florida,City,149728
"Borough Park, New York, United States",Borough Park,New York,City,149248
"Valencia, California, United States",Valencia,California,City,148456
"Rockford, Illinois, United States",Rockford,Illinois,City,148278
"East Hampton, Virginia, United States",East Hampton,Virginia,City,147993
"Joliet, Illinois, United States",Joliet,Illinois,City,147861
"Savannah, Georgia, United States",Savannah,Georgia,City,147780
"Paterson, New Jersey, United States",Paterson,New Jersey,City,147754
"Bridgeport, Connecticut, United States",Bridgeport,Connecticut,City,147629
"Naperville, Illinois, United States",Naperville,Illinois,City,147100
"Gainesville, Florida, United States",Gainesville,Florida,City,145214
"Mesquite, Texas, United States",Mesquite,Texas,City,144788
"Syracuse, New York, United States",Syracuse,New York,City,144142
"Torrance, California, United States",Torrance,California,City,143592
"Surprise, Arizona, United States",Surprise,Arizona,City,143148
"Metairie Terrace, Louisiana, United States",Metairie Terrace,Louisiana,City,142489
"Columbia, South Carolina, United States",Columbia,South Carolina,City,142416
"Pasadena, California, United States",Pasadena,California,City,142250
"Orange, California, United States",Orange,California,City,140992
"Fullerton, California, United States",Fullerton,California,City,140847
"Killeen, Texas, United States",Killeen,Texas,City,140806
"McAllen, Texas, United States",McAllen,Texas,City,140269
"Bellevue, Washington, United States",Bellevue,Washington,City,139820
"Metairie, Louisiana, United States",Metairie,Louisiana,City,138481
"Hampton, Virginia, United States",Hampton,Virginia,City,137148
"Miramar, Florida, United States",Miramar,Florida,City,137132
"Van Nuys, California, United States",Van Nuys,California,City,136443
"West Valley City, Utah, United States",West Valley City,Utah,City,136208
"Dayton, Ohio, United States",Dayton,Ohio,City,135512
"Olathe, Kansas, United States",Olathe,Kansas,City,134305
"Warren, Michigan, United States",Warren,Michigan,City,134056
"Thornton, Colorado, United States",Thornton,Colorado,City,133451
"Carrollton, Texas, United States",Carrollton,Texas,City,133168
"Charleston, South Carolina, United States",Charleston,South Carolina,City,132609
"Midland, Texas, United States",Midland,Texas,City,132524
"Waco, Texas, United States",Waco,Texas,City,132356
"Sterling Heights, Michigan, United States",Sterling Heights,Michigan,City,132052
"Denton, Texas, United States",Denton,Texas,City,131044
"Cedar Rapids, Iowa, United States",Cedar Rapids,Iowa,City,130405
"New Haven, Connecticut, United States",New Haven,Connecticut,City,130322
"Roseville, California, United States",Roseville,California,City,130269
"Visalia, California, United States",Visalia,California,City,130104
"Coral Springs, Florida, United States",Coral Springs,Florida,City,129485
"Thousand Oaks, California, United States",Thousand Oaks,California,City,129339
"Columbia, Missouri, United States",Columbia,Missouri,City,129330
"Elizabeth, New Jersey, United States",Elizabeth,New Jersey,City,129007
"Stamford, Connecticut, United States",Stamford,Connecticut,City,128874
"Concord, California, United States",Concord,California,City,128667
"Norman, Oklahoma, United States",Norman,Oklahoma,City,128026
"Alhambra, Arizona, United States",Alhambra,Arizona,City,127764
"Athens, Georgia, United States",Athens,Georgia,City,127315
"Kent, Washington, United States",Kent,Washington,City,126952
"Simi Valley, California, United States",Simi Valley,California,City,126788
"East Los Angeles, California, United States",East Los Angeles,California,City,126496
"Santa Clara, California, United States",Santa Clara,California,City,126215
"Sunset Park, New York, United States",Sunset Park,New York,City,126000
"Topeka, Kansas, United States",Topeka,Kansas,City,125963
"Abilene, Texas, United States",Abilene,Texas,City,125182
"Koreatown, California, United States",Koreatown,California,City,124281
"Sheepshead Bay, New York, United States",Sheepshead Bay,New York,City,122534
"Amherst, New York, United States",Amherst,New York,City,122366
"Victorville, California, United States",Victorville,California,City,122225
"Vallejo, California, United States",Vallejo,California,City,121692
"Lafayette, Louisiana, United States",Lafayette,Louisiana,City,121374
