canonical,name,region,type,population
"Mount Juliet, Tennessee, United States",Mount Juliet,Tennessee,City,31540
"Naugatuck, Connecticut, United States",Naugatuck,Connecticut,City,31538
"San Luis, Arizona, United States",San Luis,Arizona,City,31520
"Brighton Beach, New York, United States",Brighton Beach,New York,City,31462
"Michigan City, Indiana, United States",Michigan City,Indiana,City,31459
"Dania Beach, Florida, United States",Dania Beach,Florida,City,31446
"Makiki / Lower Punchbowl / Tantalus, Hawaii, United States",Makiki / Lower Punchbowl / Tantalus,Hawaii,City,31434
"Lewiston Orchards, Idaho, United States",Lewiston Orchards,Idaho,City,31422
"Lexington, Massachusetts, United States",Lexington,Massachusetts,City,31394
"Chatham, Illinois, United States",Chatham,Illinois,City,31392
"Navarre, Florida, United States",Navarre,Florida,City,31378
"Holly Springs, North Carolina, United States",Holly Springs,North Carolina,City,31377
"Shawnee, Oklahoma, United States",Shawnee,Oklahoma,City,31286
"Brentwood Estates, Tennessee, United States",Brentwood Estates,Tennessee,City,31279
"Galesburg, Illinois, United States",Galesburg,Illinois,City,31273
"Bowling Green, Ohio, United States",Bowling Green,Ohio,City,31246
"Des Moines, Washington, United States",Des Moines,Washington,City,31221
"Wheat Ridge, Colorado, United States",Wheat Ridge,Colorado,City,31192
"Florence, Arizona, United States",Florence,Arizona,City,31110
"Gurnee, Illinois, United States",Gurnee,Illinois,City,31056
"Myrtle Beach, South Carolina, United States",Myrtle Beach,South Carolina,City,31035
"Parkersburg, West Virginia, United States",Parkersburg,West Virginia,City,30991
"Miami Lakes, Florida, United States",Miami Lakes,Florida,City,30972
"Saratoga, California, United States",Saratoga,California,City,30968
"East Lake, Florida, United States",East Lake,Florida,City,30962
"Banning, California, United States",Banning,California,City,30945
"Goleta, California, United States",Goleta,California,City,30944
"Lakeside, Florida, United States",Lakeside,Florida,City,30943
"Long Branch, New Jersey, United States",Long Branch,New Jersey,City,30941
"Fair Oaks, California, United States",Fair Oaks,California,City,30912
"Wayne, Pennsylvania, United States",Wayne,Pennsylvania,City,30892
"Lake Stevens, Washington, United States",Lake Stevens,Washington,City,30886
"Dover, New Hampshire, United States",Dover,New Hampshire,City,30880
"Radnor, Pennsylvania, United States",Radnor,Pennsylvania,City,30878
"Holladay, Utah, United States",Holladay,Utah,City,30864
"Herriman, Utah, United States",Herriman,Utah,City,30835
"South Kingstown, Rhode Island, United States",South Kingstown,Rhode Island,City,30826
"Estero, Florida, United States",Estero,Florida,City,30799
"Ithaca, New York, United States",Ithaca,New York,City,30788
"North Tonawanda, New York, United States",North Tonawanda,New York,City,30785
"Brooklyn Center, Minnesota, United States",Brooklyn Center,Minnesota,City,30770
"Pikesville, Maryland, United States",Pikesville,Maryland,City,30764
"New Iberia, Louisiana, United States",New Iberia,Louisiana,City,30754
"Alamogordo, New Mexico, United States",Alamogordo,New Mexico,City,30753
"Parkville, Maryland, United States",Parkville,Maryland,City,30734
"Statesboro, Georgia, United States",Statesboro,Georgia,City,30721
"Morgantown, West Virginia, United States",Morgantown,West Virginia,City,30708
"Los Gatos, California, United States",Los Gatos,California,City,30705
"Matthews, North Carolina, United States",Matthews,North Carolina,City,30678
"Los Altos, California, United States",Los Altos,California,City,30671
"Clearfield, Utah, United States",Clearfield,Utah,City,30653
"Franklin, Massachusetts, United States",Franklin,Massachusetts,City,30636
"Owings Mills, Maryland, United States",Owings Mills,Maryland,City,30622
"Hawai‘i Kai, Hawaii, United States",Hawai‘i Kai,Hawaii,City,30620
"Aiken, South Carolina, United States",Aiken,South Carolina,City,30604
"Plainfield, Indiana, United States",Plainfield,Indiana,City,30590
"Ballwin, Missouri, United States",Ballwin,Missouri,City,30577
"Manchester, Connecticut, United States",Manchester,Connecticut,City,30577
"Algonquin, Illinois, United States",Algonquin,Illinois,City,30571
"Bel Air North, Maryland, United States",Bel Air North,Maryland,City,30568
"Newington, Connecticut, United States",Newington,Connecticut,City,30562
"Westfield, New Jersey, United States",Westfield,New Jersey,City,30548
"Santa Paula, California, United States",Santa Paula,California,City,30546
"Fallbrook, California, United States",Fallbrook,California,City,30534
"Eldersburg, Maryland, United States",Eldersburg,Maryland,City,30531
"Sherwood, Arkansas, United States",Sherwood,Arkansas,City,30517
"Springfield Gardens, New York, United States",Springfield Gardens,New York,City,30515
"Lawrenceville, Georgia, United States",Lawrenceville,Georgia,City,30493
"Springfield, Virginia, United States",Springfield,Virginia,City,30484
"Kaysville, Utah, United States",Kaysville,Utah,City,30472
"Granger, Indiana, United States",Granger,Indiana,City,30465
"Burlingame, California, United States",Burlingame,California,City,30459
"Post Falls, Idaho, United States",Post Falls,Idaho,City,30453
"Liberty, Missouri, United States",Liberty,Missouri,City,30450
"West Roxbury, Massachusetts, United States",West Roxbury,Massachusetts,City,30442
"San Pablo, California, United States",San Pablo,California,City,30407
"Savage, Minnesota, United States",Savage,Minnesota,City,30391
"Poughkeepsie, New York, United States",Poughkeepsie,New York,City,30371
"Texarkana, Arkansas, United States",Texarkana,Arkansas,City,30353
"North Royalton, Ohio, United States",North Royalton,Ohio,City,30311
"Chicago Heights, Illinois, United States",Chicago Heights,Illinois,City,30284
"Lebanon, Tennessee, United States",Lebanon,Tennessee,City,30262
"Walnut, California, United States",Walnut,California,City,30237
"Madison Heights, Michigan, United States",Madison Heights,Michigan,City,30198
"DeLand, Florida, United States",DeLand,Florida,City,30195
"Cedar City, Utah, United States",Cedar City,Utah,City,30184
"Parkland, Florida, United States",Parkland,Florida,City,30177
"West Warwick, Rhode Island, United States",West Warwick,Rhode Island,City,30146
"Jamestown, New York, United States",Jamestown,New York,City,30075
"New Bern, North Carolina, United States",New Bern,North Carolina,City,30070
"Rochester, New Hampshire, United States",Rochester,New Hampshire,City,30038
"Cleburne, Texas, United States",Cleburne,Texas,City,30020
"Ashmont, Massachusetts, United States",Ashmont,Massachusetts,City,30000
"Winter Park, Florida, United States",Winter Park,Florida,City,29943
"Carney, Maryland, United States",Carney,Maryland,City,29941
"Southlake, Texas, United States",Southlake,Texas,City,29941
"San Carlos, California, United States",San Carlos,California,City,29931
"Woodstock, Georgia, United States",Woodstock,Georgia,City,29898
"East Hill-Meridian, Washington, United States",East Hill-Meridian,Washington,City,29878
"Niles, Illinois, United States",Niles,Illinois,City,29876
"Laplace, Louisiana, United States",Laplace,Louisiana,City,29872
"Westchester, Florida, United States",Westchester,Florida,City,29862
"Atascadero, California, United States",Atascadero,California,City,29819
"Kent, Ohio, United States",Kent,Ohio,City,29810
"Gloucester, Massachusetts, United States",Gloucester,Massachusetts,City,29781
"Nicholasville, Kentucky, United States",Nicholasville,Kentucky,City,29754
"Oak Park, Michigan, United States",Oak Park,Michigan,City,29752
"Highland Park, Illinois, United States",Highland Park,Illinois,City,29743
"Elizabethtown, Kentucky, United States",Elizabethtown,Kentucky,City,29678
"Austintown, Ohio, United States",Austintown,Ohio,City,29677
"East Palo Alto, California, United States",East Palo Alto,California,City,29662
"South Gate, Maryland, United States",South Gate,Maryland,City,29658
"Pueblo West, Colorado, United States",Pueblo West,Colorado,City,29637
"Port Chester, New York, United States",Port Chester,New York,City,29620
"Princeton, New Jersey, United States",Princeton,New Jersey,City,29603
"Fort Cavazos, Texas, United States",Fort Cavazos,Texas,City,29589
"LaGrange, Georgia, United States",LaGrange,Georgia,City,29588
"Salem, New Hampshire, United States",Salem,New Hampshire,City,29549
"Opelika, Alabama, United States",Opelika,Alabama,City,29527
"Rahway, New Jersey, United States",Rahway,New Jersey,City,29508
"North Chicago, Illinois, United States",North Chicago,Illinois,City,29491
"Middle Village, New York, United States",Middle Village,New York,City,29491
"Morristown, Tennessee, United States",Morristown,Tennessee,City,29478
"Cheshire, Connecticut, United States",Cheshire,Connecticut,City,29443
"Branford, Connecticut, United States",Branford,Connecticut,City,29438
"Raytown, Missouri, United States",Raytown,Missouri,City,29401
"Fruit Cove, Florida, United States",Fruit Cove,Florida,City,29362
"Port Huron, Michigan, United States",Port Huron,Michigan,City,29330
"Tewksbury, Massachusetts, United States",Tewksbury,Massachusetts,City,29326
"Glenville, New York, United States",Glenville,New York,City,29326
"Franklin Square, New York, United States",Franklin Square,New York,City,29320
"Oak Ridge, Tennessee, United States",Oak Ridge,Tennessee,City,29302
"Southgate, Michigan, United States",Southgate,Michigan,City,29293
"East Haven, Connecticut, United States",East Haven,Connecticut,City,29257
"Upper Alton, Illinois, United States",Upper Alton,Illinois,City,29251
"Johnston, Rhode Island, United States",Johnston,Rhode Island,City,29247
"Atwater, California, United States",Atwater,California,City,29237
"West Falls Church, Virginia, United States",West Falls Church,Virginia,City,29207
"Williamsport, Pennsylvania, United States",Williamsport,Pennsylvania,City,29201
"Duluth, Georgia, United States",Duluth,Georgia,City,29193
"Fort Bragg, North Carolina, United States",Fort Bragg,North Carolina,City,29183
"Russellville, Arkansas, United States",Russellville,Arkansas,City,29166
"Sanford, North Carolina, United States",Sanford,North Carolina,City,29144
"Harker Heights, Texas, United States",Harker Heights,Texas,City,29142
"Burbank, Illinois, United States",Burbank,Illinois,City,29128
"Marion, Indiana, United States",Marion,Indiana,City,29081
"Granite City, Illinois, United States",Granite City,Illinois,City,29054
"Milford Mill, Maryland, United States",Milford Mill,Maryland,City,29042
"Lake in the Hills, Illinois, United States",Lake in the Hills,Illinois,City,29024
"Evans, Georgia, United States",Evans,Georgia,City,29011
"O'Fallon, Illinois, United States",O'Fallon,Illinois,City,29002
"Fort Hamilton, New York, United States",Fort Hamilton,New York,City,28966
"Carlsbad, New Mexico, United States",Carlsbad,New Mexico,City,28957
"Ferry Pass, Florida, United States",Ferry Pass,Florida,City,28921
"Kingman, Arizona, United States",Kingman,Arizona,City,28912
"Orcutt, California, United States",Orcutt,California,City,28905
"Henderson, Kentucky, United States",Henderson,Kentucky,City,28890
"Needham, Massachusetts, United States",Needham,Massachusetts,City,28886
"Crown Point, Indiana, United States",Crown Point,Indiana,City,28879
"Big Spring, Texas, United States",Big Spring,Texas,City,28862
"Dracut, Massachusetts, United States",Dracut,Massachusetts,City,28831
"Allston, Massachusetts, United States",Allston,Massachusetts,City,28821
"Schererville, Indiana, United States",Schererville,Indiana,City,28791
"Burton, Michigan, United States",Burton,Michigan,City,28788
"Ridgecrest, California, United States",Ridgecrest,California,City,28780
"Windsor, Connecticut, United States",Windsor,Connecticut,City,28778
"Eagle Pass, Texas, United States",Eagle Pass,Texas,City,28765
"Agawam, Massachusetts, United States",Agawam,Massachusetts,City,28761
"Weatherford, Texas, United States",Weatherford,Texas,City,28742
"West Elkridge, Maryland, United States",West Elkridge,Maryland,City,28734
"East Chicago, Indiana, United States",East Chicago,Indiana,City,28699
"Redmond, Oregon, United States",Redmond,Oregon,City,28654
"Jacksonville, Arkansas, United States",Jacksonville,Arkansas,City,28643
"Socorro Mission Number 1 Colonia, Texas, United States",Socorro Mission Number 1 Colonia,Texas,City,28637
"Norwood, Massachusetts, United States",Norwood,Massachusetts,City,28602
"Northampton, Massachusetts, United States",Northampton,Massachusetts,City,28540
"Englewood, New Jersey, United States",Englewood,New Jersey,City,28539
"Lake Magdalene, Florida, United States",Lake Magdalene,Florida,City,28509
"Perry Hall, Maryland, United States",Perry Hall,Maryland,City,28474
"Maryville, Tennessee, United States",Maryville,Tennessee,City,28464
"Hobart, Indiana, United States",Hobart,Indiana,City,28404
"Fresh Meadows, New York, United States",Fresh Meadows,New York,City,28397
"Frankfort, Kentucky, United States",Frankfort,Kentucky,City,28391
"Mehlville, Missouri, United States",Mehlville,Missouri,City,28380
"Greer, South Carolina, United States",Greer,South Carolina,City,28365
"Lansing, Illinois, United States",Lansing,Illinois,City,28349
"Harrison, New York, United States",Harrison,New York,City,28348
"Monterey, California, United States",Monterey,California,City,28338
"West Islip, New York, United States",West Islip,New York,City,28335
"Desert Hot Springs, California, United States",Desert Hot Springs,California,City,28335
"American Fork, Utah, United States",American Fork,Utah,City,28326
"Central, Louisiana, United States",Central,Louisiana,City,28295
"Newburgh, New York, United States",Newburgh,New York,City,28290
"McCully - Moiliili, Hawaii, United States",McCully - Moiliili,Hawaii,City,28249
"Chamblee, Georgia, United States",Chamblee,Georgia,City,28244
"Millville, New Jersey, United States",Millville,New Jersey,City,28230
"North Andover, Massachusetts, United States",North Andover,Massachusetts,City,28222
"SeaTac, Washington, United States",SeaTac,Washington,City,28215
"Elmira, New York, United States",Elmira,New York,City,28213
"Spring Valley, California, United States",Spring Valley,California,City,28205
"Stockbridge, Georgia, United States",Stockbridge,Georgia,City,28202
"Glen Ellyn, Illinois, United States",Glen Ellyn,Illinois,City,28201
"Monroeville, Pennsylvania, United States",Monroeville,Pennsylvania,City,28176
"Benicia, California, United States",Benicia,California,City,28167
"Fredericksburg, Virginia, United States",Fredericksburg,Virginia,City,28118
"Suisun, California, United States",Suisun,California,City,28111
"Aberdeen, South Dakota, United States",Aberdeen,South Dakota,City,28102
"Cranberry Township, Pennsylvania, United States",Cranberry Township,Pennsylvania,City,28098
"Garfield Heights, Ohio, United States",Garfield Heights,Ohio,City,28097
"South Chicago, Illinois, United States",South Chicago,Illinois,City,28095
"Cornelius, North Carolina, United States",Cornelius,North Carolina,City,28092
"Oakdale, Minnesota, United States",Oakdale,Minnesota,City,28080
"Oak Forest, Illinois, United States",Oak Forest,Illinois,City,28074
"Garner, North Carolina, United States",Garner,North Carolina,City,28053
"Holmesburg, Pennsylvania, United States",Holmesburg,Pennsylvania,City,28046
"Drexel Hill, Pennsylvania, United States",Drexel Hill,Pennsylvania,City,28043
"Vestal, New York, United States",Vestal,New York,City,28043
"North Kingstown, Rhode Island, United States",North Kingstown,Rhode Island,City,28042
"Bella Vista, Arkansas, United States",Bella Vista,Arkansas,City,27999
"Melrose, Massachusetts, United States",Melrose,Massachusetts,City,27997
"Fitchburg, Wisconsin, United States",Fitchburg,Wisconsin,City,27996
"Gramercy Park, New York, United States",Gramercy Park,New York,City,27988
"Wellesley, Massachusetts, United States",Wellesley,Massachusetts,City,27982
"Enterprise, Alabama, United States",Enterprise,Alabama,City,27978
"Winchester, Nevada, United States",Winchester,Nevada,City,27978
"Slidell, Louisiana, United States",Slidell,Louisiana,City,27942
"University Heights, New York, United States",University Heights,New York,City,27935
"West Springfield, Massachusetts, United States",West Springfield,Massachusetts,City,27912
"Dodge City, Kansas, United States",Dodge City,Kansas,City,27912
"Paragould, Arkansas, United States",Paragould,Arkansas,City,27900
"Maywood, California, United States",Maywood,California,City,27888
"Seguin, Texas, United States",Seguin,Texas,City,27864
"Shirley, New York, United States",Shirley,New York,City,27854
"Livingston, New Jersey, United States",Livingston,New Jersey,City,27853
"Round Lake Beach, Illinois, United States",Round Lake Beach,Illinois,City,27852
"Sterling, Virginia, United States",Sterling,Virginia,City,27822
"Middletown, New York, United States",Middletown,New York,City,27812
"Fountain, Colorado, United States",Fountain,Colorado,City,27767
"Saratoga Springs, New York, United States",Saratoga Springs,New York,City,27765
"Kirkwood, Missouri, United States",Kirkwood,Missouri,City,27750
"Drexel Heights, Arizona, United States",Drexel Heights,Arizona,City,27749
"Deer Park, New York, United States",Deer Park,New York,City,27745
"Lafayette, Colorado, United States",Lafayette,Colorado,City,27729
"Fridley, Minnesota, United States",Fridley,Minnesota,City,27713
"West Scarborough, Maine, United States",West Scarborough,Maine,City,27706
"Queensbury, New York, United States",Queensbury,New York,City,27703
"Roslindale, Massachusetts, United States",Roslindale,Massachusetts,City,27683
"Rexburg, Idaho, United States",Rexburg,Idaho,City,27663
"Wheeling, West Virginia, United States",Wheeling,West Virginia,City,27648
"Shaker Heights, Ohio, United States",Shaker Heights,Ohio,City,27646
"Mililani Town, Hawaii, United States",Mililani Town,Hawaii,City,27629
"Bergenfield, New Jersey, United States",Bergenfield,New Jersey,City,27621
"Marshalltown, Iowa, United States",Marshalltown,Iowa,City,27620
"Tucker, Georgia, United States",Tucker,Georgia,City,27581
"Nutley, New Jersey, United States",Nutley,New Jersey,City,27572
"Port Richmond, Pennsylvania, United States",Port Richmond,Pennsylvania,City,27554
"Lake Jackson, Texas, United States",Lake Jackson,Texas,City,27533
"Plum, Pennsylvania, United States",Plum,Pennsylvania,City,27505
"Windsor, California, United States",Windsor,California,City,27464
"West Chicago, Illinois, United States",West Chicago,Illinois,City,27447
"Allen Park, Michigan, United States",Allen Park,Michigan,City,27425
"Wilmette, Illinois, United States",Wilmette,Illinois,City,27413
"Imperial Beach, California, United States",Imperial Beach,California,City,27408
"Glen Cove, New York, United States",Glen Cove,New York,City,27400
"Syracuse, Utah, United States",Syracuse,Utah,City,27395
"Maryland Heights, Missouri, United States",Maryland Heights,Missouri,City,27389
"Mason City, Iowa, United States",Mason City,Iowa,City,27366
"Crofton, Maryland, United States",Crofton,Maryland,City,27348
"Anderson, South Carolina, United States",Anderson,South Carolina,City,27335
"Eagle Mountain, Utah, United States",Eagle Mountain,Utah,City,27332
"College Point, New York, United States",College Point,New York,City,27307
"Winchester, Virginia, United States",Winchester,Virginia,City,27284
"Lindenhurst, New York, United States",Lindenhurst,New York,City,27277
"Spanaway, Washington, United States",Spanaway,Washington,City,27227
"Belmont, California, United States",Belmont,California,City,27218
"Hunts Point, New York, United States",Hunts Point,New York,City,27204
"Holbrook, New York, United States",Holbrook,New York,City,27195
"New London, Connecticut, United States",New London,Connecticut,City,27179
"Paso Robles, California, United States",Paso Robles,California,City,27157
"Tualatin, Oregon, United States",Tualatin,Oregon,City,27154
"Fleming Island, Florida, United States",Fleming Island,Florida,City,27126
"Winona, Minnesota, United States",Winona,Minnesota,City,27094
"Agua Caliente, California, United States",Agua Caliente,California,City,27090
"Thomasville, North Carolina, United States",Thomasville,North Carolina,City,27061
"Casselberry, Florida, United States",Casselberry,Florida,City,27056
"Eureka, California, United States",Eureka,California,City,27017
"East Saint Louis, Illinois, United States",East Saint Louis,Illinois,City,27006
"Garden City, Kansas, United States",Garden City,Kansas,City,27005
"Alton, Illinois, United States",Alton,Illinois,City,27003
"Milton, Massachusetts, United States",Milton,Massachusetts,City,27003
"University Park, Florida, United States",University Park,Florida,City,26995
"Auburn, New York, United States",Auburn,New York,City,26985
"Williston, North Dakota, United States",Williston,North Dakota,City,26977
"Paramus, New Jersey, United States",Paramus,New Jersey,City,26974
"Back Mountain, Pennsylvania, United States",Back Mountain,Pennsylvania,City,26973
"West Milford, New Jersey, United States",West Milford,New Jersey,City,26968
"Jeffersontown, Kentucky, United States",Jeffersontown,Kentucky,City,26946
"Garden City, Michigan, United States",Garden City,Michigan,City,26920
"Horn Lake, Mississippi, United States",Horn Lake,Mississippi,City,26915
"Stoughton, Massachusetts, United States",Stoughton,Massachusetts,City,26915
"Easton, Pennsylvania, United States",Easton,Pennsylvania,City,26915
"Prairieville, Louisiana, United States",Prairieville,Louisiana,City,26895
"Hyde Park, Illinois, United States",Hyde Park,Illinois,City,26893
"Dix Hills, New York, United States",Dix Hills,New York,City,26892
"Gladstone, Missouri, United States",Gladstone,Missouri,City,26861
"Cutler Ridge, Florida, United States",Cutler Ridge,Florida,City,26831
"Independence, Kentucky, United States",Independence,Kentucky,City,26819
"Watertown, New York, United States",Watertown,New York,City,26780
"Wooster, Ohio, United States",Wooster,Ohio,City,26749
"Bessemer, Alabama, United States",Bessemer,Alabama,City,26730
"Merrimack, New Hampshire, United States",Merrimack,New Hampshire,City,26726
"Lemon Grove, California, United States",Lemon Grove,California,City,26709
"Kankakee, Illinois, United States",Kankakee,Illinois,City,26676
"Wethersfield, Connecticut, United States",Wethersfield,Connecticut,City,26668
"Bristol, Tennessee, United States",Bristol,Tennessee,City,26666
"McHenry, Illinois, United States",McHenry,Illinois,City,26657
"Saugus, Massachusetts, United States",Saugus,Massachusetts,City,26628
"Stevens Point, Wisconsin, United States",Stevens Point,Wisconsin,City,26604
"West Linn, Oregon, United States",West Linn,Oregon,City,26593
"Superior, Wisconsin, United States",Superior,Wisconsin,City,26579
"Tujunga, California, United States",Tujunga,California,City,26527
"Greenville, Texas, United States",Greenville,Texas,City,26515
"Magna, Utah, United States",Magna,Utah,City,26505
"Batavia, Illinois, United States",Batavia,Illinois,City,26495
"Cantonment, Florida, United States",Cantonment,Florida,City,26493
"Danvers, Massachusetts, United States",Danvers,Massachusetts,City,26493
"Shoreview, Minnesota, United States",Shoreview,Minnesota,City,26477
"Paradise, California, United States",Paradise,California,City,26476
"Fremont, Nebraska, United States",Fremont,Nebraska,City,26474
"Smithtown, New York, United States",Smithtown,New York,City,26470
"Pearl, Mississippi, United States",Pearl,Mississippi,City,26462
"Mansfield City, Connecticut, United States",Mansfield City,Connecticut,City,26439
"Mercerville-Hamilton Square, New Jersey, United States",Mercerville-Hamilton Square,New Jersey,City,26419
"North Creek, Washington, United States",North Creek,Washington,City,26410
"Carbondale, Illinois, United States",Carbondale,Illinois,City,26399
"Westport, Connecticut, United States",Westport,Connecticut,City,26391
"Medina, Ohio, United States",Medina,Ohio,City,26339
"Bay Shore, New York, United States",Bay Shore,New York,City,26337
"Kahului, Hawaii, United States",Kahului,Hawaii,City,26337
"Leisure City, Florida, United States",Leisure City,Florida,City,26324
"Vernon Hills, Illinois, United States",Vernon Hills,Illinois,City,26314
"Zionsville, Indiana, United States",Zionsville,Indiana,City,26296
"Norco, California, United States",Norco,California,City,26289
"Wasco, California, United States",Wasco,California,City,26279
"Mount Pleasant, Wisconsin, United States",Mount Pleasant,Wisconsin,City,26272
"Fortuna Foothills, Arizona, United States",Fortuna Foothills,Arizona,City,26265
"Barberton, Ohio, United States",Barberton,Ohio,City,26234
"Kingsville, Texas, United States",Kingsville,Texas,City,26225
"Statesville, North Carolina, United States",Statesville,North Carolina,City,26221
"Plainview, New York, United States",Plainview,New York,City,26217
"Laurel, Maryland, United States",Laurel,Maryland,City,26215
"Carrollton, Georgia, United States",Carrollton,Georgia,City,26203
"South Pasadena, California, United States",South Pasadena,California,City,26151
"Howard Beach, New York, United States",Howard Beach,New York,City,26148
"Englewood, Illinois, United States",Englewood,Illinois,City,26121
"Four Corners, Florida, United States",Four Corners,Florida,City,26116
"South Laurel, Maryland, United States",South Laurel,Maryland,City,26112
"Asheboro, North Carolina, United States",Asheboro,North Carolina,City,26103
"Buenaventura Lakes, Florida, United States",Buenaventura Lakes,Florida,City,26079
"Clinton, Iowa, United States",Clinton,Iowa,City,26064
"Mount Pleasant, Michigan, United States",Mount Pleasant,Michigan,City,26060
"Twentynine Palms, California, United States",Twentynine Palms,California,City,26025
"Huntley, Illinois, United States",Huntley,Illinois,City,26005
"Pennsport, Pennsylvania, United States",Pennsport,Pennsylvania,City,26000
"Xenia, Ohio, United States",Xenia,Ohio,City,25976
"Reisterstown, Maryland, United States",Reisterstown,Maryland,City,25968
"Green, Ohio, United States",Green,Ohio,City,25898
"Brawley, California, United States",Brawley,California,City,25897
"Yukon, Oklahoma, United States",Yukon,Oklahoma,City,25892
"Ellendale, Tennessee, United States",Ellendale,Tennessee,City,25882
"Opportunity, Washington, United States",Opportunity,Washington,City,25877
"Forest Hills, Michigan, United States",Forest Hills,Michigan,City,25867
"Lafayette, California, United States",Lafayette,California,City,25843
"Ramsey, Minnesota, United States",Ramsey,Minnesota,City,25828
"Suitland, Maryland, United States",Suitland,Maryland,City,25825
"Pleasure Ridge Park, Kentucky, United States",Pleasure Ridge Park,Kentucky,City,25813
"Rosedale, New York, United States",Rosedale,New York,City,25812
"New Lenox, Illinois, United States",New Lenox,Illinois,City,25800
"Madison, Mississippi, United States",Madison,Mississippi,City,25799
"Neenah, Wisconsin, United States",Neenah,Wisconsin,City,25792
"Alvin, Texas, United States",Alvin,Texas,City,25791
"Key West, Florida, United States",Key West,Florida,City,25755
"Randolph, New Jersey, United States",Randolph,New Jersey,City,25734
"Temple Terrace, Florida, United States",Temple Terrace,Florida,City,25731
"Owatonna, Minnesota, United States",Owatonna,Minnesota,City,25725
"Homewood, Alabama, United States",Homewood,Alabama,City,25708
"Sahuarita, Arizona, United States",Sahuarita,Arizona,City,25707
"Maple Valley, Washington, United States",Maple Valley,Washington,City,25686
"Hazelwood, Missouri, United States",Hazelwood,Missouri,City,25661
"Troy, Ohio, United States",Troy,Ohio,City,25659
"Lemoore, California, United States",Lemoore,California,City,25647
"Mint Hill, North Carolina, United States",Mint Hill,North Carolina,City,25627
"Ridgewood, New Jersey, United States",Ridgewood,New Jersey,City,25621
"Long Island City, New York, United States",Long Island City,New York,City,25595
"Cabot, Arkansas, United States",Cabot,Arkansas,City,25587
"Rhawnhurst, Pennsylvania, United States",Rhawnhurst,Pennsylvania,City,25581
"Reedley, California, United States",Reedley,California,City,25569
"Edgewood, Maryland, United States",Edgewood,Maryland,City,25562
"Meadow Woods, Florida, United States",Meadow Woods,Florida,City,25558
"South Portland, Maine, United States",South Portland,Maine,City,25556
"West Whittier-Los Nietos, California, United States",West Whittier-Los Nietos,California,City,25540
"Lebanon, Pennsylvania, United States",Lebanon,Pennsylvania,City,25534
"Zanesville, Ohio, United States",Zanesville,Ohio,City,25498
"Colleyville, Texas, United States",Colleyville,Texas,City,25487
"Canton, Georgia, United States",Canton,Georgia,City,25469
"Ossining, New York, United States",Ossining,New York,City,25441
"Salem, Virginia, United States",Salem,Virginia,City,25432
"Burlington, Iowa, United States",Burlington,Iowa,City,25410
"Saratoga Springs, Utah, United States",Saratoga Springs,Utah,City,25407
"Melrose Park, Illinois, United States",Melrose Park,Illinois,City,25379
"Starkville, Mississippi, United States",Starkville,Mississippi,City,25366
"Lochearn, Maryland, United States",Lochearn,Maryland,City,25333
"Chanhassen, Minnesota, United States",Chanhassen,Minnesota,City,25332
"Hercules, California, United States",Hercules,California,City,25314
"Galt, California, United States",Galt,California,City,25303
"Prior Lake, Minnesota, United States",Prior Lake,Minnesota,City,25282
"Castlewood, Colorado, United States",Castlewood,Colorado,City,25271
"Grandview, Missouri, United States",Grandview,Missouri,City,25256
"Clinton, Mississippi, United States",Clinton,Mississippi,City,25254
"Yarmouth, Massachusetts, United States",Yarmouth,Massachusetts,City,25243
"Sandusky, Ohio, United States",Sandusky,Ohio,City,25212
"Balch Springs, Texas, United States",Balch Springs,Texas,City,25210
"White Bear Lake, Minnesota, United States",White Bear Lake,Minnesota,City,25205
"Chaska, Minnesota, United States",Chaska,Minnesota,City,25199
"Harvey, Illinois, United States",Harvey,Illinois,City,25194
"Middle River, Maryland, United States",Middle River,Maryland,City,25191
"Woodstock, Illinois, United States",Woodstock,Illinois,City,25189
"Ardmore, Oklahoma, United States",Ardmore,Oklahoma,City,25176
"Lockport, Illinois, United States",Lockport,Illinois,City,25175
"Woodburn, Oregon, United States",Woodburn,Oregon,City,25173
"Wyandotte, Michigan, United States",Wyandotte,Michigan,City,25156
"Mauldin, South Carolina, United States",Mauldin,South Carolina,City,25135
"Belvidere, Illinois, United States",Belvidere,Illinois,City,25132
"Moscow, Idaho, United States",Moscow,Idaho,City,25060
"Milford, Massachusetts, United States",Milford,Massachusetts,City,25055
"West Memphis, Arkansas, United States",West Memphis,Arkansas,City,25052
"Athens, Ohio, United States",Athens,Ohio,City,25044
"Mercer Island, Washington, United States",Mercer Island,Washington,City,25042
"Bridgeton, New Jersey, United States",Bridgeton,New Jersey,City,25031
"Maplewood, New Jersey, United States",Maplewood,New Jersey,City,25008
"Soledad, California, United States",Soledad,California,City,25003
"Farmington, Connecticut, United States",Farmington,Connecticut,City,25000
"Brownsburg, Indiana, United States",Brownsburg,Indiana,City,24996
"Saginaw Township North, Michigan, United States",Saginaw Township North,Michigan,City,24994
"Edwardsville, Illinois, United States",Edwardsville,Illinois,City,24992
"Riverside, Ohio, United States",Riverside,Ohio,City,24972
"Athens, Alabama, United States",Athens,Alabama,City,24966
"Woodbridge, California, United States",Woodbridge,California,City,24966
"Liliha - Kapalama, Hawaii, United States",Liliha - Kapalama,Hawaii,City,24953
"Sanger, California, United States",Sanger,California,City,24950
"Westmont, Illinois, United States",Westmont,Illinois,City,24941
